[STRING]
String = 12000,Hac Long Giang
String = 12001,Tay Luong
String = 12002,Lung Huu
String = 12003,An Dinh
String = 12004,Hoang Nong
String = 12005,Ham Duong
String = 12006,Tran Thang
String = 12007,Phu Phong
String = 12008,Nhai Dinh
String = 12009,Thien Thuy
String = 12010,Nhan Mon
String = 12011,Giang
String = 12012,Binh Duong
String = 12013,Tan Duong
String = 12014,Nghiep
String = 12015,Ho Lao
String = 12016,Ho Quan
String = 12017,Gioi Kieu
String = 12018,Di Thuy
String = 12019,Dai Huyen
String = 12020,Binh Nguyen
String = 12021,O Sao
String = 12022,Boc Duong
String = 12023,Nhac Lang
String = 12024,Nam Bi
String = 12025,Cao Duong
String = 12026,Bac Binh
String = 12027,Tuong Binh
String = 12028,Xuong Le
String = 12029,Nhac Lang
String = 12030,Dai Phuong
String = 12031,Ha Bien
String = 12032,Ki Son
String = 12033,Duong Binh
String = 12034,Tu Dong
String = 12035,Thanh Do
String = 12036,Giang Chau
String = 12037,Ngu Truong Nguyen
String = 12038,Bach Thuy
String = 12039,Thuong Dung
String = 12040,Han Trung
String = 12041,Truc Duong
String = 12042,Gia Manh
String = 12043,Ba Quan
String = 12044,Tuong Duong
String = 12045,Bach De
String = 12046,Lam Giang
String = 12047,Truong Ban Pha
String = 12048,O Lam
String = 12049,Mi O
String = 12050,Truong An
String = 12051,Lac Duong
String = 12052,Uyen
String = 12053,Dien Tan
String = 12054,Quan Do
String = 12055,Tan Da
String = 12056,Hua Xuong
String = 12057,Nhu Nam
String = 12058,Tran Luu
String = 12059,Lu Giang
String = 12060,Tieu
String = 12061,Tieu Bai
String = 12062,Dinh Dao
String = 12063,Nhac An
String = 12064,Bac Hai
String = 12065,Do Duong
String = 12066,Ha Phi
String = 12067,Tu Chau
String = 12068,Hoai An
String = 12069,Hu Di
String = 12070,Tho Xuan
String = 12071,Hiep Phi
String = 12072,Giang Ha
String = 12073,Ha Khau
String = 12074,Xich Bich
String = 12075,Tuong Dam
String = 12076,Que Duong
String = 12077,Truong Sa
String = 12078,Lu Lang
String = 12079,Nam Hai
String = 12080,Du Chuong
String = 12081,Khuc A
String = 12082,Kien Nghiep
String = 12083,Nam Xuong
String = 12084,Ba Duong
String = 12085,Ngo Quan
String = 12086,Hoi Ke
String = 12087,Tung Giang
String = 12088,Giang Lang
String = 12089,Linh Lang
String = 12090,Que Lam
String = 12091,Phu Lang
String = 12092,Vu Lang
String = 12093,Giao Chi
String = 12094,Kien Ninh
String = 12095,Van Nam
String = 12096,Di Chau
String = 12097,Loc Nhi M
String = 12098,Ta Ma Dai
String = 12099,A To
String = 12100,Xuat Van
String = 12101,Ta Ha
String = 12102,A Cuu Can
String = 12103,Ha Quan
String = 12104,Bao Luu
String = 12105,Bao Luu
String = 12106,Bao Luu
String = 12107,Bao Luu
String = 12108,Bao Luu
String = 12109,Bao Luu
String = 12110,Bao Luu
String = 12111,Bao Luu
String = 12112,Bao Luu
String = 12113,Bao Luu
String = 12114,Bao Luu
String = 12115,Bao Luu
String = 12116,Bao Luu
String = 12117,Bao Luu
String = 12118,Bao Luu
String = 12119,Bao Luu
String = 12120,Bao Luu
String = 12121,Bao Luu
String = 12122,Bao Luu
String = 12123,Bao Luu
String = 12124,Bao Luu
String = 12125,Bao Luu
String = 12126,Bao Luu
String = 12127,Bao Luu
String = 12128,Bao Luu
String = 12129,Bao Luu
String = 12130,Bao Luu
String = 12131,Bao Luu
String = 12132,Bao Luu
String = 12133,Bao Luu
String = 12134,Bao Luu
String = 12135,Bao Luu
String = 12136,Bao Luu
String = 12137,Bao Luu
String = 12138,Bao Luu
String = 12139,Bao Luu
String = 12140,Bao Luu
String = 12141,Bao Luu
String = 12142,Bao Luu
String = 12143,Bao Luu
String = 12144,Bao Luu
String = 12145,Bao Luu
String = 12146,Bao Luu
String = 12147,Bao Luu
String = 12148,Bao Luu
String = 12149,Bao Luu
String = 12150,Bao Luu
String = 12151,Bao Luu
String = 12152,Bao Luu
String = 12153,Bao Luu
String = 12154,Bao Luu
String = 12155,Bao Luu
String = 12156,Bao Luu
String = 12157,Bao Luu
String = 12158,Bao Luu
String = 12159,Bao Luu
String = 12160,Bao Luu
String = 12161,Bao Luu
String = 12162,Bao Luu
String = 12163,Bao Luu
String = 12164,Bao Luu
String = 12165,Bao Luu
String = 12166,Bao Luu
String = 12167,Bao Luu
String = 12168,Bao Luu
String = 12169,Bao Luu
String = 12170,Bao Luu
String = 12171,Bao Luu
String = 12172,Bao Luu
String = 12173,Bao Luu
